Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
14.3879,V-sg,N-pl,1
16.536255,V-pl,N-pl,1
14.276149,V-sg,N-pl,1
16.467785,V-pl,N-pl,1
14.440121,V-sg,N-pl,1
16.46852,V-pl,N-pl,1
14.575174,V-sg,N-pl,1
16.658285,V-pl,N-pl,1
14.509785,V-sg,N-pl,1
16.126541,V-pl,N-pl,1
14.559674,V-sg,N-pl,1
16.222237,V-pl,N-pl,1
14.487221,V-sg,N-pl,1
16.66642,V-pl,N-pl,1
14.449645,V-sg,N-pl,1
16.539007,V-pl,N-pl,1
14.477326,V-sg,N-pl,1
16.347511,V-pl,N-pl,1
14.439889,V-sg,N-pl,1
16.662422,V-pl,N-pl,1
14.654223,V-sg,N-pl,1
16.384266,V-pl,N-pl,1
14.733297,V-sg,N-pl,1
16.490686,V-pl,N-pl,1
14.752947,V-sg,N-pl,1
16.659073,V-pl,N-pl,1
14.485398,V-sg,N-pl,1
16.247292,V-pl,N-pl,1
14.310054,V-sg,N-pl,1
16.891836,V-pl,N-pl,1
14.536978,V-sg,N-pl,1
16.371193,V-pl,N-pl,1
14.851349,V-sg,N-pl,1
16.488323,V-pl,N-pl,1
14.685633,V-sg,N-pl,1
16.512934,V-pl,N-pl,1
14.325809,V-sg,N-pl,1
16.3604,V-pl,N-pl,1
14.730151,V-sg,N-pl,1
16.233574,V-pl,N-pl,1
14.613143,V-sg,N-sg,1
16.690323,V-pl,N-sg,1
14.426594,V-sg,N-sg,1
16.385202,V-pl,N-sg,1
14.564762,V-sg,N-sg,1
16.506933,V-pl,N-sg,1
14.663448,V-sg,N-sg,1
16.79091,V-pl,N-sg,1
14.280472,V-sg,N-sg,1
16.28272,V-pl,N-sg,1
14.633687,V-sg,N-sg,1
16.487083,V-pl,N-sg,1
14.391635,V-sg,N-sg,1
16.30668,V-pl,N-sg,1
14.601779,V-sg,N-sg,1
16.366426,V-pl,N-sg,1
14.59433,V-sg,N-sg,1
16.179804,V-pl,N-sg,1
14.29376,V-sg,N-sg,1
16.405293,V-pl,N-sg,1
14.732749,V-sg,N-sg,1
16.365334,V-pl,N-sg,1
14.70771,V-sg,N-sg,1
16.21743,V-pl,N-sg,1
14.40973,V-sg,N-sg,1
16.44724,V-pl,N-sg,1
14.591123,V-sg,N-sg,1
16.18328,V-pl,N-sg,1
14.139235,V-sg,N-sg,1
16.36748,V-pl,N-sg,1
14.8750515,V-sg,N-sg,1
16.523329,V-pl,N-sg,1
14.531034,V-sg,N-sg,1
16.33617,V-pl,N-sg,1
14.551283,V-sg,N-sg,1
16.267048,V-pl,N-sg,1
14.6254015,V-sg,N-sg,1
16.433004,V-pl,N-sg,1
14.4386835,V-sg,N-sg,1
15.921746,V-pl,N-sg,1
15.002505,V-sg,N-pl,2
17.232674,V-pl,N-pl,2
14.596236,V-sg,N-pl,2
17.215721,V-pl,N-pl,2
14.821373,V-sg,N-pl,2
16.9717,V-pl,N-pl,2
14.963623,V-sg,N-pl,2
17.16972,V-pl,N-pl,2
14.793933,V-sg,N-pl,2
16.838219,V-pl,N-pl,2
14.914766,V-sg,N-pl,2
16.991917,V-pl,N-pl,2
14.879657,V-sg,N-pl,2
17.132479,V-pl,N-pl,2
14.939255,V-sg,N-pl,2
17.210352,V-pl,N-pl,2
14.866177,V-sg,N-pl,2
16.890892,V-pl,N-pl,2
14.876306,V-sg,N-pl,2
17.311443,V-pl,N-pl,2
14.967825,V-sg,N-pl,2
17.15929,V-pl,N-pl,2
14.992108,V-sg,N-pl,2
17.3601,V-pl,N-pl,2
15.121632,V-sg,N-pl,2
17.286247,V-pl,N-pl,2
14.988395,V-sg,N-pl,2
16.958979,V-pl,N-pl,2
14.709435,V-sg,N-pl,2
17.413387,V-pl,N-pl,2
14.988844,V-sg,N-pl,2
17.041525,V-pl,N-pl,2
15.345359,V-sg,N-pl,2
17.148111,V-pl,N-pl,2
14.944301,V-sg,N-pl,2
16.90381,V-pl,N-pl,2
14.777881,V-sg,N-pl,2
17.110277,V-pl,N-pl,2
15.059542,V-sg,N-pl,2
16.827713,V-pl,N-pl,2
15.02224,V-sg,N-sg,2
17.363995,V-pl,N-sg,2
14.816732,V-sg,N-sg,2
16.839073,V-pl,N-sg,2
15.014814,V-sg,N-sg,2
17.023037,V-pl,N-sg,2
14.971828,V-sg,N-sg,2
17.333925,V-pl,N-sg,2
14.693491,V-sg,N-sg,2
16.841236,V-pl,N-sg,2
14.97633,V-sg,N-sg,2
17.184834,V-pl,N-sg,2
14.979086,V-sg,N-sg,2
16.942474,V-pl,N-sg,2
15.1771965,V-sg,N-sg,2
16.934765,V-pl,N-sg,2
14.948047,V-sg,N-sg,2
16.607681,V-pl,N-sg,2
14.685168,V-sg,N-sg,2
16.977669,V-pl,N-sg,2
14.979681,V-sg,N-sg,2
17.025429,V-pl,N-sg,2
15.106223,V-sg,N-sg,2
16.855076,V-pl,N-sg,2
14.902291,V-sg,N-sg,2
17.067785,V-pl,N-sg,2
14.962629,V-sg,N-sg,2
16.875559,V-pl,N-sg,2
14.675607,V-sg,N-sg,2
16.876766,V-pl,N-sg,2
15.158926,V-sg,N-sg,2
17.046719,V-pl,N-sg,2
15.038356,V-sg,N-sg,2
17.060638,V-pl,N-sg,2
14.925114,V-sg,N-sg,2
16.965866,V-pl,N-sg,2
14.92621,V-sg,N-sg,2
17.044228,V-pl,N-sg,2
14.88766,V-sg,N-sg,2
16.766129,V-pl,N-sg,2
15.563388,V-sg,N-pl,3
16.945395,V-pl,N-pl,3
15.242123,V-sg,N-pl,3
16.90906,V-pl,N-pl,3
15.566407,V-sg,N-pl,3
16.830156,V-pl,N-pl,3
15.686777,V-sg,N-pl,3
17.03257,V-pl,N-pl,3
15.463173,V-sg,N-pl,3
16.558409,V-pl,N-pl,3
15.596035,V-sg,N-pl,3
16.706291,V-pl,N-pl,3
15.605161,V-sg,N-pl,3
16.9016,V-pl,N-pl,3
15.613883,V-sg,N-pl,3
17.001112,V-pl,N-pl,3
15.528569,V-sg,N-pl,3
16.88721,V-pl,N-pl,3
15.644708,V-sg,N-pl,3
16.987425,V-pl,N-pl,3
15.62917,V-sg,N-pl,3
16.894823,V-pl,N-pl,3
15.727852,V-sg,N-pl,3
17.18695,V-pl,N-pl,3
15.908632,V-sg,N-pl,3
16.990475,V-pl,N-pl,3
15.477171,V-sg,N-pl,3
16.7066,V-pl,N-pl,3
15.310941,V-sg,N-pl,3
17.273212,V-pl,N-pl,3
15.64549,V-sg,N-pl,3
16.814798,V-pl,N-pl,3
15.942865,V-sg,N-pl,3
16.932945,V-pl,N-pl,3
15.568213,V-sg,N-pl,3
16.710123,V-pl,N-pl,3
15.4257145,V-sg,N-pl,3
16.977991,V-pl,N-pl,3
15.80062,V-sg,N-pl,3
16.672112,V-pl,N-pl,3
15.66904,V-sg,N-sg,3
16.95961,V-pl,N-sg,3
15.555819,V-sg,N-sg,3
16.659252,V-pl,N-sg,3
15.61282,V-sg,N-sg,3
16.86204,V-pl,N-sg,3
15.641368,V-sg,N-sg,3
17.086922,V-pl,N-sg,3
15.313556,V-sg,N-sg,3
16.670061,V-pl,N-sg,3
15.64629,V-sg,N-sg,3
16.92682,V-pl,N-sg,3
15.512724,V-sg,N-sg,3
16.753542,V-pl,N-sg,3
15.915865,V-sg,N-sg,3
16.753773,V-pl,N-sg,3
15.5894,V-sg,N-sg,3
16.307747,V-pl,N-sg,3
15.363735,V-sg,N-sg,3
16.70233,V-pl,N-sg,3
15.759727,V-sg,N-sg,3
16.828537,V-pl,N-sg,3
15.769964,V-sg,N-sg,3
16.591349,V-pl,N-sg,3
15.570243,V-sg,N-sg,3
16.84296,V-pl,N-sg,3
15.645499,V-sg,N-sg,3
16.518684,V-pl,N-sg,3
15.328465,V-sg,N-sg,3
16.600832,V-pl,N-sg,3
15.797668,V-sg,N-sg,3
16.863472,V-pl,N-sg,3
15.742773,V-sg,N-sg,3
16.865534,V-pl,N-sg,3
15.601894,V-sg,N-sg,3
16.641714,V-pl,N-sg,3
15.65262,V-sg,N-sg,3
16.673016,V-pl,N-sg,3
15.645217,V-sg,N-sg,3
16.520376,V-pl,N-sg,3
15.770527,V-sg,N-pl,4
17.375883,V-pl,N-pl,4
15.5447445,V-sg,N-pl,4
17.41719,V-pl,N-pl,4
15.894925,V-sg,N-pl,4
17.24094,V-pl,N-pl,4
15.826795,V-sg,N-pl,4
17.382225,V-pl,N-pl,4
15.633418,V-sg,N-pl,4
17.163176,V-pl,N-pl,4
15.746014,V-sg,N-pl,4
17.197771,V-pl,N-pl,4
15.781036,V-sg,N-pl,4
17.325033,V-pl,N-pl,4
15.808994,V-sg,N-pl,4
17.494991,V-pl,N-pl,4
15.744924,V-sg,N-pl,4
17.325338,V-pl,N-pl,4
15.820168,V-sg,N-pl,4
17.398167,V-pl,N-pl,4
15.869542,V-sg,N-pl,4
17.33182,V-pl,N-pl,4
15.978973,V-sg,N-pl,4
17.57153,V-pl,N-pl,4
15.968862,V-sg,N-pl,4
17.504984,V-pl,N-pl,4
15.722144,V-sg,N-pl,4
17.240053,V-pl,N-pl,4
15.49894,V-sg,N-pl,4
17.723673,V-pl,N-pl,4
15.823884,V-sg,N-pl,4
17.35557,V-pl,N-pl,4
16.104572,V-sg,N-pl,4
