Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
7.8800898,V-sg,N-pl,1
3.459767,V-pl,N-pl,1
7.68561,V-sg,N-pl,1
3.5990376,V-pl,N-pl,1
7.2472525,V-sg,N-pl,1
3.0840726,V-pl,N-pl,1
8.034287,V-sg,N-pl,1
3.1105971,V-pl,N-pl,1
8.414755,V-sg,N-pl,1
3.2985435,V-pl,N-pl,1
8.306534,V-sg,N-pl,1
3.5150585,V-pl,N-pl,1
7.600707,V-sg,N-pl,1
2.8599296,V-pl,N-pl,1
7.344725,V-sg,N-pl,1
2.9330864,V-pl,N-pl,1
7.099917,V-sg,N-pl,1
3.6261754,V-pl,N-pl,1
7.2111526,V-sg,N-pl,1
2.793031,V-pl,N-pl,1
8.983545,V-sg,N-pl,1
3.5636206,V-pl,N-pl,1
7.530745,V-sg,N-pl,1
3.0356412,V-pl,N-pl,1
6.9688015,V-sg,N-pl,1
2.5862875,V-pl,N-pl,1
6.844925,V-sg,N-pl,1
2.551038,V-pl,N-pl,1
7.7486405,V-sg,N-pl,1
3.0002902,V-pl,N-pl,1
8.651101,V-sg,N-pl,1
3.1758344,V-pl,N-pl,1
5.882416,V-sg,N-pl,1
2.775215,V-pl,N-pl,1
6.8849025,V-sg,N-pl,1
2.8313732,V-pl,N-pl,1
7.899567,V-sg,N-pl,1
3.098318,V-pl,N-pl,1
7.6629033,V-sg,N-pl,1
3.3192544,V-pl,N-pl,1
3.4440641,V-sg,N-sg,1
11.572576,V-pl,N-sg,1
3.5731475,V-sg,N-sg,1
11.230982,V-pl,N-sg,1
2.7507966,V-sg,N-sg,1
10.104236,V-pl,N-sg,1
3.459902,V-sg,N-sg,1
10.315807,V-pl,N-sg,1
2.9684372,V-sg,N-sg,1
11.1936,V-pl,N-sg,1
3.3490274,V-sg,N-sg,1
10.915196,V-pl,N-sg,1
3.136268,V-sg,N-sg,1
10.669097,V-pl,N-sg,1
3.0735772,V-sg,N-sg,1
10.485331,V-pl,N-sg,1
3.5442333,V-sg,N-sg,1
11.124568,V-pl,N-sg,1
2.8392906,V-sg,N-sg,1
10.485799,V-pl,N-sg,1
3.4042683,V-sg,N-sg,1
11.022379,V-pl,N-sg,1
3.0430284,V-sg,N-sg,1
10.399131,V-pl,N-sg,1
2.709682,V-sg,N-sg,1
10.850432,V-pl,N-sg,1
2.9411314,V-sg,N-sg,1
10.561465,V-pl,N-sg,1
3.2797093,V-sg,N-sg,1
11.09328,V-pl,N-sg,1
3.0958424,V-sg,N-sg,1
10.6563425,V-pl,N-sg,1
3.014323,V-sg,N-sg,1
10.829017,V-pl,N-sg,1
3.010448,V-sg,N-sg,1
10.722932,V-pl,N-sg,1
3.0834358,V-sg,N-sg,1
11.065643,V-pl,N-sg,1
3.4475403,V-sg,N-sg,1
10.546445,V-pl,N-sg,1
7.7160573,V-sg,N-pl,2
3.0637531,V-pl,N-pl,2
7.8342338,V-sg,N-pl,2
2.981296,V-pl,N-pl,2
7.401756,V-sg,N-pl,2
2.6400213,V-pl,N-pl,2
7.466322,V-sg,N-pl,2
3.5315237,V-pl,N-pl,2
7.9309106,V-sg,N-pl,2
3.1035197,V-pl,N-pl,2
8.083671,V-sg,N-pl,2
3.0478427,V-pl,N-pl,2
7.5281453,V-sg,N-pl,2
3.5449722,V-pl,N-pl,2
7.317262,V-sg,N-pl,2
3.2740684,V-pl,N-pl,2
7.3480697,V-sg,N-pl,2
3.0362196,V-pl,N-pl,2
7.189872,V-sg,N-pl,2
3.911833,V-pl,N-pl,2
7.2799187,V-sg,N-pl,2
2.965405,V-pl,N-pl,2
7.37879,V-sg,N-pl,2
3.3443468,V-pl,N-pl,2
7.252907,V-sg,N-pl,2
2.7672362,V-pl,N-pl,2
7.2706366,V-sg,N-pl,2
3.6047263,V-pl,N-pl,2
7.446126,V-sg,N-pl,2
2.4846604,V-pl,N-pl,2
7.757227,V-sg,N-pl,2
3.1319668,V-pl,N-pl,2
7.4174767,V-sg,N-pl,2
3.3128207,V-pl,N-pl,2
7.2208076,V-sg,N-pl,2
3.2920525,V-pl,N-pl,2
7.62158,V-sg,N-pl,2
3.452864,V-pl,N-pl,2
7.6835546,V-sg,N-pl,2
3.43571,V-pl,N-pl,2
3.2513747,V-sg,N-sg,2
8.197596,V-pl,N-sg,2
